City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,prince rupert,54.3161,-130.3201,41.09,81,75,24.16,CA,1675809296
260,iqaluit,63.7506,-68.5145,-25.31,67,75,6.91,CA,1675809297
261,leshukonskoye,64.8989,45.7622,28.8,95,100,11.07,RU,1675809191
262,avera,33.194,-82.5271,67.51,55,94,4.0,US,1675809297
263,tigzirt,36.8886,4.1198,54.23,65,100,8.14,DZ,1675809298
264,sulangan,11.1373,123.7228,79.12,80,100,13.15,PH,1675809298
265,sitka,57.0531,-135.33,39.09,75,100,3.44,US,1675809298
266,port-gentil,-0.7193,8.7815,80.56,94,40,2.3,GA,1675809299
267,misratah,32.3754,15.0925,55.74,61,91,16.6,LY,1675809299
268,masuda,34.6667,131.85,47.89,70,69,8.88,JP,1675809299
269,margate,51.3813,1.3862,34.3,64,9,3.96,GB,1675809300
270,bilibino,68.0546,166.4372,-39.44,100,100,0.22,RU,1675809163
271,isangel,-19.55,169.2667,82.51,89,75,2.3,VU,1675809300
272,grafton,42.207,-71.6856,35.6,49,0,6.91,US,1675809300
273,mgandu,-5.95,34.1333,60.37,88,85,3.09,TZ,1675809301
274,pedernales,18.0384,-71.744,79.23,63,0,1.83,DO,1675809301
275,murgab,37.4966,61.9714,49.87,50,40,6.91,TM,1675809303
276,darhan,49.4867,105.9228,-10.26,98,9,4.63,MN,1675809305
277,sibu,2.3,111.8167,75.51,100,20,0.0,MY,1675809309
278,voh,-20.9667,164.7,83.41,77,100,1.52,NC,1675809311
279,bengkulu,-3.8004,102.2655,74.41,82,93,5.48,ID,1675809312
280,college,64.8569,-147.8028,13.21,78,75,0.0,US,1675809222
281,mabaruma,8.2,-59.7833,72.54,96,22,4.03,GY,1675809319
282,port lincoln,-34.7333,135.8667,69.48,69,3,12.01,AU,1675809050
283,portland,45.5234,-122.6762,50.04,93,100,11.01,US,1675809146
284,salinopolis,-0.6136,-47.3561,78.15,86,78,10.94,BR,1675809298
285,sept-iles,50.2001,-66.3821,19.4,82,75,13.8,CA,1675809327
286,comrie,56.3791,-3.9949,41.83,90,100,5.64,GB,1675809336
287,milkovo,54.7167,158.6167,6.62,95,100,1.72,RU,1675809338
288,antalaha,-14.9003,50.2788,73.72,91,92,5.7,MG,1675809339
289,arraial do cabo,-22.9661,-42.0278,73.26,100,75,5.75,BR,1675809279
290,tessalit,20.1986,1.0114,74.01,15,97,2.66,ML,1675809339
291,dondo,-19.6094,34.7431,81.91,96,31,3.27,MZ,1675809340
292,sassandra,4.95,-6.0833,77.86,90,73,5.61,CI,1675809340
293,evensk,61.95,159.2333,-21.39,75,74,8.84,RU,1675809341
294,kyabe,9.4515,18.9449,80.38,14,1,6.15,TD,1675809341
295,yulara,-25.2406,130.9889,84.6,27,0,7.23,AU,1675809341
296,havelock,34.8791,-76.9013,60.8,59,0,8.05,US,1675809342
297,vanersborg,58.3807,12.3234,41.58,93,100,10.36,SE,1675809342
298,ban phai,16.06,102.731,77.22,68,6,6.96,TH,1675809342
299,saint anthony,45.0205,-93.218,35.89,65,0,12.66,US,1675809179
300,deputatskiy,69.3,139.9,-46.61,99,58,4.25,RU,1675809319
301,umm kaddadah,13.6017,26.6876,61.47,29,20,17.74,SD,1675809343
302,barrow,71.2906,-156.7887,-2.18,78,100,0.0,US,1675809343
303,dingle,10.9995,122.6711,74.21,92,100,7.9,PH,1675809317
304,abengourou,6.7297,-3.4964,74.59,91,100,3.18,CI,1675809344
305,muscle shoals,34.7448,-87.6675,69.94,46,100,8.05,US,1675809344
306,korla,41.7597,86.1469,29.39,85,73,1.68,CN,1675809344
307,pakokku,21.3333,95.1,63.43,47,0,4.12,MM,1675809345
308,olafsvik,64.8945,-23.7142,26.83,66,100,26.44,IS,1675809345
309,saint-joseph,-21.3667,55.6167,77.38,81,67,13.87,RE,1675809346
310,angoche,-16.2325,39.9086,77.22,86,100,7.38,MZ,1675809346
311,tombouctou,20.0,-3.0,68.9,18,50,12.19,ML,1675809346
312,kenai,60.5544,-151.2583,29.14,93,100,4.61,US,1675809165
313,geraldton,-28.7667,114.6,66.61,88,100,9.22,AU,1675809109
314,broome,42.2506,-75.833,42.46,67,100,13.0,US,1675809347
315,ossora,59.2353,163.0719,-15.59,88,100,5.99,RU,1675809198
